mu,round,local_epochs,client_i,client_j,cosine_similarity
1.0,6,5,0,3,-0.03993367403745651
1.0,6,5,0,4,0.24140506982803345
1.0,6,5,1,2,0.6241830587387085
1.0,6,5,1,3,-0.10936662554740906
1.0,6,5,1,4,0.045241426676511765
1.0,6,5,2,3,-0.16912783682346344
1.0,6,5,2,4,0.32171115279197693
1.0,6,5,3,4,0.051451198756694794
1.0,7,5,0,1,0.2036382257938385
1.0,7,5,0,2,-0.14598406851291656
1.0,7,5,0,3,-0.06532999873161316
1.0,7,5,0,4,0.23329539597034454
1.0,7,5,1,2,0.5561825633049011
1.0,7,5,1,3,-0.1626579463481903
1.0,7,5,1,4,0.024333534762263298
1.0,7,5,2,3,-0.198185995221138
1.0,7,5,2,4,0.2896006107330322
1.0,7,5,3,4,0.019129572436213493
1.0,8,5,0,1,0.16412004828453064
1.0,8,5,0,2,-0.13184933364391327
1.0,8,5,0,3,-0.09882450848817825
1.0,8,5,0,4,0.2645649015903473
1.0,8,5,1,2,0.5202385187149048
1.0,8,5,1,3,-0.186289981007576
1.0,8,5,1,4,-0.0522221177816391
1.0,8,5,2,3,-0.2634371519088745
1.0,8,5,2,4,0.2919118106365204
1.0,8,5,3,4,0.0045373872853815556
1.0,9,5,0,1,0.1914873719215393
1.0,9,5,0,2,-0.1736152172088623
1.0,9,5,0,3,-0.132568821310997
1.0,9,5,0,4,0.1776624172925949
1.0,9,5,1,2,0.509397029876709
1.0,9,5,1,3,-0.21782228350639343
1.0,9,5,1,4,-0.06115288659930229
1.0,9,5,2,3,-0.29991012811660767
1.0,9,5,2,4,0.283783495426178
1.0,9,5,3,4,-0.0569705031812191
1.0,10,5,0,1,0.14345267415046692
1.0,10,5,0,2,-0.1661117672920227
1.0,10,5,0,3,-0.12010128796100616
1.0,10,5,0,4,0.17331001162528992
1.0,10,5,1,2,0.5259458422660828
1.0,10,5,1,3,-0.30773696303367615
1.0,10,5,1,4,-0.03884560987353325
1.0,10,5,2,3,-0.3618724048137665
1.0,10,5,2,4,0.3134763240814209
1.0,10,5,3,4,-0.07356685400009155
1.0,11,5,0,1,0.18520891666412354
1.0,11,5,0,2,-0.19781494140625
1.0,11,5,0,3,-0.18589505553245544
1.0,11,5,0,4,0.19718272984027863
1.0,11,5,1,2,0.4605133533477783
1.0,11,5,1,3,-0.2800776958465576
1.0,11,5,1,4,-0.07853864878416061
