mu,round,client_id,reconstructed_aggregate_alignment,loo_aggregate_alignment,peer_aggregate_magnitude
0.1,16,3,0.3947655371097573,-0.5341918512751084,0.1351709800049842
0.1,16,4,0.2019613748319343,-0.14199536217297054,0.12305368805320502
0.1,17,0,0.21647309951069527,-0.25229502824774,0.1213209932095259
0.1,17,1,0.3154282025360859,-0.15675955855896045,0.11553724915033048
0.1,17,2,0.4188256895886934,-0.30431247480663726,0.11462939576065764
0.1,17,3,0.3767893738501883,-0.5517178278368995,0.13355042602684072
0.1,17,4,0.22899942022907382,-0.12825612731634511,0.11802692654386455
0.1,18,0,0.21449381581278615,-0.2564960711667836,0.11867958005799314
0.1,18,1,0.31851885929260865,-0.15894705545062737,0.11275930022458662
0.1,18,2,0.4181684806144407,-0.32306702922164343,0.11272611081378715
0.1,18,3,0.37301508229007385,-0.5586122230526882,0.13137500784853426
0.1,18,4,0.20016722112313037,-0.1585865570388568,0.11654060230473445
0.1,19,0,0.20125748496171839,-0.2786093937919731,0.11784625284408777
0.1,19,1,0.33761937801846564,-0.14237709731373785,0.10987924501970706
0.1,19,2,0.4409788812401144,-0.3083319197888441,0.10901433012234296
0.1,19,3,0.3415675840736886,-0.5720100744783768,0.13239328397578126
0.1,19,4,0.21650379261775346,-0.1517337689489196,0.11412520060569403
0.1,20,0,0.1806780483116556,-0.29914821786542783,0.11777074151137616
0.1,20,1,0.3249241724733709,-0.1578402930011405,0.10943016228313789
0.1,20,2,0.437051334896151,-0.30881280899670055,0.10804899724243874
0.1,20,3,0.3876040008344787,-0.5496966642608042,0.126083955357693
0.1,20,4,0.14616742815031322,-0.2133957596282553,0.11569586139565033
1.0,1,0,0.42806153222792265,0.2497299884569233,0.5012669151992067
1.0,1,1,0.6250313358278158,0.4509501818805009,0.4697145873318496
1.0,1,2,0.6370278586746992,0.34446660786274,0.4409913580131703
1.0,1,3,0.7593304960515808,0.25001534892860217,0.3609426502273618
1.0,1,4,0.5547608437338377,0.4141405162280152,0.49093418525275023
1.0,2,0,0.40236101893376974,0.20348291700431975,0.38365134173589444
1.0,2,1,0.625879186926123,0.4415774413704298,0.35666004860435063
1.0,2,2,0.6217093929646385,0.31049403271626425,0.33807854944253585
1.0,2,3,0.726740638644127,0.18690436226817608,0.2868978282715269
1.0,2,4,0.5642578769200757,0.4204089203565741,0.3733414979702767
1.0,3,0,0.3801432021350374,0.1612458975220763,0.3051478937866739
1.0,3,1,0.6085155250124579,0.4102890682758172,0.2833206853344738
1.0,3,2,0.602780912798897,0.2684279677401689,0.269694895050895
1.0,3,3,0.7001065623839658,0.12763088694105876,0.23440667439218374
1.0,3,4,0.5623555303584791,0.41400177478012196,0.2957737117846094
1.0,4,0,0.36494689846846035,0.11919129213835919,0.2472066030178022
1.0,4,1,0.5917426330513085,0.3796177571696403,0.2297124328680916
1.0,4,2,0.5852411315551446,0.22532559831717514,0.219406899203718
1.0,4,3,0.6610564303257814,0.052462280449860677,0.19808176554894175
1.0,4,4,0.5599525546958796,0.40262188180157243,0.2386165794028864
1.0,5,0,0.3657294898145754,0.0909977573938584,0.20405356344235553
1.0,5,1,0.5878389873899195,0.3549613742696536,0.18892931622653403
1.0,5,2,0.5699086092350945,0.17622865097634444,0.18225830539165055
1.0,5,3,0.6089516682049066,-0.025165119785878105,0.17323804077394464
1.0,5,4,0.525988632581117,0.3520314324378147,0.1983894850366373
1.0,6,0,0.32894342730784426,0.028657646460225505,0.17261870501027662
1.0,6,1,0.5645836748077945,0.31180799908709617,0.15872247836459388
1.0,6,2,0.5527512957457897,0.1259677001837121,0.15348835117730056
1.0,6,3,0.5626723381439708,-0.12974699833170056,0.1523353538760297
1.0,6,4,0.4897874255229044,0.2902748394794037,0.1664669982559625
1.0,7,0,0.33622156172923795,0.005704646827226824,0.14895153139406644
1.0,7,1,0.5238894384033916,0.24391380792562978,0.13891109579828215
1.0,7,2,0.5122119897692999,0.061978098861229305,0.13609580143802907
1.0,7,3,0.5431403892367948,-0.1853873719885746,0.13513737614752416
1.0,7,4,0.46736675221341745,0.2528391184164863,0.1445159744293956
1.0,8,0,0.3349498186309304,-0.01779684518599037,0.13058440267712207
1.0,8,1,0.48077375716429394,0.1774697257494957,0.12346239347931026
1.0,8,2,0.4822207982921479,0.0013286899571274859,0.12139253382849945
1.0,8,3,0.5138037591972985,-0.24888445063948209,0.12274079258812283
1.0,8,4,0.47042962457361776,0.2418649885749253,0.12601908898854686
1.0,9,0,0.2966360524341486,-0.08032540281608264,0.11766954278923465
1.0,9,1,0.5064560205703699,0.17761674427626234,0.10761217256850504
1.0,9,2,0.48265693858898623,-0.044152468103603036,0.10766951021124364
1.0,9,3,0.4615783376501029,-0.3178402263710072,0.11490984406624305
1.0,9,4,0.4141404859041002,0.16221917944433076,0.11329041110811316
1.0,10,0,0.3127351502298982,-0.09034076949668877,0.10546498327838574
1.0,10,1,0.43330310204665484,0.08455962477366283,0.10001861722495586
1.0,10,2,0.4478994042954906,-0.09408692303193027,0.09930869625600203
